Year,STATE/UT,DISTRICT,Insult_to_modesty_of_Women
2004,odisha,mayurbhanj,0
2005,odisha,mayurbhanj,0
2006,odisha,mayurbhanj,15
2007,odisha,mayurbhanj,22
2008,odisha,mayurbhanj,23
2009,odisha,mayurbhanj,13
2010,odisha,mayurbhanj,10
2011,odisha,mayurbhanj,20
2012,odisha,mayurbhanj,12
2013,odisha,mayurbhanj,13
2001,andhrapradesh,medak,25
2002,andhrapradesh,medak,28
2003,andhrapradesh,medak,37
2004,andhrapradesh,medak,54
2005,andhrapradesh,medak,35
2006,andhrapradesh,medak,59
2007,andhrapradesh,medak,96
2008,andhrapradesh,medak,61
2009,andhrapradesh,medak,58
2010,andhrapradesh,medak,95
2011,andhrapradesh,medak,50
2012,andhrapradesh,medak,55
2013,andhrapradesh,medak,73
2001,uttarpradesh,meerut,123
2002,uttarpradesh,meerut,87
2003,uttarpradesh,meerut,165
2004,uttarpradesh,meerut,153
2005,uttarpradesh,meerut,121
2006,uttarpradesh,meerut,91
2007,uttarpradesh,meerut,163
2008,uttarpradesh,meerut,165
2009,uttarpradesh,meerut,123
2010,uttarpradesh,meerut,0
2011,uttarpradesh,meerut,0
2012,uttarpradesh,meerut,0
2013,uttarpradesh,meerut,0
2001,gujarat,mehsana,1
2002,gujarat,mehsana,4
2003,gujarat,mehsana,1
2004,gujarat,mehsana,0
2005,gujarat,mehsana,0
2006,gujarat,mehsana,0
2007,gujarat,mehsana,0
2008,gujarat,mehsana,1
2009,gujarat,mehsana,1
2010,gujarat,mehsana,0
2011,gujarat,mehsana,2
2012,gujarat,mehsana,1
2013,gujarat,mehsana,0
2001,uttarpradesh,mirzapur,21
2002,uttarpradesh,mirzapur,8
2003,uttarpradesh,mirzapur,4
2004,uttarpradesh,mirzapur,13
2005,uttarpradesh,mirzapur,11
2006,uttarpradesh,mirzapur,9
2007,uttarpradesh,mirzapur,11
2008,uttarpradesh,mirzapur,6
2009,uttarpradesh,mirzapur,4
2010,uttarpradesh,mirzapur,0
2011,uttarpradesh,mirzapur,0
2012,uttarpradesh,mirzapur,0
2013,uttarpradesh,mirzapur,0
2001,punjab,moga,2
2002,punjab,moga,0
2003,punjab,moga,0
2004,punjab,moga,0
2005,punjab,moga,1
2006,punjab,moga,0
2007,punjab,moga,5
2008,punjab,moga,0
2009,punjab,moga,1
2010,punjab,moga,0
2011,punjab,moga,0
2012,punjab,moga,0
2013,punjab,moga,0
2001,nagaland,mokokchung,0
2002,nagaland,mokokchung,0
2003,nagaland,mokokchung,2
2004,nagaland,mokokchung,1
2005,nagaland,mokokchung,0
2006,nagaland,mokokchung,0
2007,nagaland,mokokchung,0
2008,nagaland,mokokchung,0
2009,nagaland,mokokchung,0
2010,nagaland,mokokchung,0
2011,nagaland,mokokchung,0
2012,nagaland,mokokchung,0
2013,nagaland,mokokchung,0
2001,nagaland,mon,0
2002,nagaland,mon,0
2003,nagaland,mon,0
2004,nagaland,mon,0
2005,nagaland,mon,0
2006,nagaland,mon,0
2007,nagaland,mon,0
2008,nagaland,mon,0
2009,nagaland,mon,0
2010,nagaland,mon,0
2011,nagaland,mon,0
2012,nagaland,mon,0
2013,nagaland,mon,0
2001,uttarpradesh,moradabad,85
2002,uttarpradesh,moradabad,75
2003,uttarpradesh,moradabad,158
2004,uttarpradesh,moradabad,126
2005,uttarpradesh,moradabad,135
2006,uttarpradesh,moradabad,142
2007,uttarpradesh,moradabad,115
2008,uttarpradesh,moradabad,114
2009,uttarpradesh,moradabad,61
2010,uttarpradesh,moradabad,0
2011,uttarpradesh,moradabad,0
2012,uttarpradesh,moradabad,3
2013,uttarpradesh,moradabad,1
2001,madhyapradesh,morena,2
2002,madhyapradesh,morena,2
2003,madhyapradesh,morena,3
2004,madhyapradesh,morena,3
2005,madhyapradesh,morena,3
2006,madhyapradesh,morena,3
2007,madhyapradesh,morena,2
2008,madhyapradesh,morena,1
2009,madhyapradesh,morena,5
2010,madhyapradesh,morena,0
2011,madhyapradesh,morena,4
2012,madhyapradesh,morena,3
2013,madhyapradesh,morena,5
2001,assam,morigaon,0
2002,assam,morigaon,0
2003,assam,morigaon,0
2004,assam,morigaon,0
2005,assam,morigaon,9
2006,assam,morigaon,0
2007,assam,morigaon,0
2008,assam,morigaon,0
2009,assam,morigaon,0
2010,assam,morigaon,0
2011,assam,morigaon,0
2012,assam,morigaon,0
2013,assam,morigaon,0
2001,bihar,motihari,1
2002,bihar,motihari,0
2003,bihar,motihari,0
2004,bihar,motihari,0
2005,bihar,motihari,0
2006,bihar,motihari,0
2007,bihar,motihari,0
2008,bihar,motihari,0
2009,bihar,motihari,0
2010,bihar,motihari,0
2011,bihar,motihari,0
2012,bihar,motihari,16
2013,bihar,motihari,14
2001,punjab,muktsar,0
2002,punjab,muktsar,0
2003,punjab,muktsar,0
2004,punjab,muktsar,0
2005,punjab,muktsar,0
2006,punjab,muktsar,0
2007,punjab,muktsar,0
2008,punjab,muktsar,0
2009,punjab,muktsar,0
2010,punjab,muktsar,1
2011,punjab,muktsar,0
2012,punjab,muktsar,2
2013,punjab,muktsar,1
2001,maharashtra,mumbai_rly.,0
2002,maharashtra,mumbai_rly.,2
2003,maharashtra,mumbai_rly.,1
2004,maharashtra,mumbai_rly.,3
2005,maharashtra,mumbai_rly.,4
2006,maharashtra,mumbai_rly.,0
2007,maharashtra,mumbai_rly.,0
2008,maharashtra,mumbai_rly.,0
2009,maharashtra,mumbai_rly.,4
2010,maharashtra,mumbai_rly.,9
2011,maharashtra,mumbai_rly.,3
2012,maharashtra,mumbai_rly.,3
2013,maharashtra,mumbai_rly.,5
2001,bihar,munger,0
2002,bihar,munger,0
2003,bihar,munger,0
2004,bihar,munger,0
2005,bihar,munger,0
2006,bihar,munger,0
2007,bihar,munger,0
2008,bihar,munger,0
2009,bihar,munger,0
2010,bihar,munger,0
2011,bihar,munger,0
2012,bihar,munger,0
2013,bihar,munger,0
2001,westbengal,murshidabad,2
2002,westbengal,murshidabad,0
2003,westbengal,murshidabad,0
2004,westbengal,murshidabad,0
2005,westbengal,murshidabad,1
2006,westbengal,murshidabad,3
2007,westbengal,murshidabad,6
2008,westbengal,murshidabad,3
2009,westbengal,murshidabad,1
2010,westbengal,murshidabad,6
2011,westbengal,murshidabad,5
2012,westbengal,murshidabad,6
2013,westbengal,murshidabad,7
2001,uttarpradesh,muzaffarnagar,33
2002,uttarpradesh,muzaffarnagar,30
2003,uttarpradesh,muzaffarnagar,205
2004,uttarpradesh,muzaffarnagar,103
2005,uttarpradesh,muzaffarnagar,113
2006,uttarpradesh,muzaffarnagar,88
2007,uttarpradesh,muzaffarnagar,72
2008,uttarpradesh,muzaffarnagar,74
2009,uttarpradesh,muzaffarnagar,86
2010,uttarpradesh,muzaffarnagar,0
2011,uttarpradesh,muzaffarnagar,0
2012,uttarpradesh,muzaffarnagar,0
2013,uttarpradesh,muzaffarnagar,0
2001,bihar,muzaffarpur,0
2002,bihar,muzaffarpur,0
2003,bihar,muzaffarpur,0
2004,bihar,muzaffarpur,0
2005,bihar,muzaffarpur,0
2006,bihar,muzaffarpur,0
2007,bihar,muzaffarpur,0
2008,bihar,muzaffarpur,0
2009,bihar,muzaffarpur,0
2010,bihar,muzaffarpur,0
2011,bihar,muzaffarpur,0
2012,bihar,muzaffarpur,0
2013,bihar,muzaffarpur,27
2001,bihar,muzaffarpur_rly.,0
2002,bihar,muzaffarpur_rly.,0
2003,bihar,muzaffarpur_rly.,0
2004,bihar,muzaffarpur_rly.,0
2005,bihar,muzaffarpur_rly.,0
2006,bihar,muzaffarpur_rly.,0
2007,bihar,muzaffarpur_rly.,0
2008,bihar,muzaffarpur_rly.,0
2009,bihar,muzaffarpur_rly.,0
2010,bihar,muzaffarpur_rly.,0
2011,bihar,muzaffarpur_rly.,0
2012,bihar,muzaffarpur_rly.,0
2013,bihar,muzaffarpur_rly.,0
2001,karnataka,mysore_commr.,1
2002,karnataka,mysore_commr.,0
2003,karnataka,mysore_commr.,0
2004,karnataka,mysore_commr.,0
2005,karnataka,mysore_commr.,0
2006,karnataka,mysore_commr.,0
2007,karnataka,mysore_commr.,0
2008,karnataka,mysore_commr.,0
2009,karnataka,mysore_commr.,0
2010,karnataka,mysore_commr.,0
2011,karnataka,mysore_commr.,0
2012,karnataka,mysore_commr.,0
2013,karnataka,mysore_commr.,1
2001,karnataka,mysore_rural,2
2002,karnataka,mysore_rural,0
2003,karnataka,mysore_rural,0
2004,karnataka,mysore_rural,0
2005,karnataka,mysore_rural,0
2006,karnataka,mysore_rural,0
2007,karnataka,mysore_rural,0
2008,karnataka,mysore_rural,0
2009,karnataka,mysore_rural,0
2010,karnataka,mysore_rural,0
2011,karnataka,mysore_rural,0
2012,karnataka,mysore_rural,0
2013,karnataka,mysore_rural,0
2001,assam,n.c.hills,0
2002,assam,n.c.hills,0
2003,assam,n.c.hills,0
2004,assam,n.c.hills,0
2005,assam,n.c.hills,0
2006,assam,n.c.hills,0
2007,assam,n.c.hills,0
2008,assam,n.c.hills,0
2009,assam,n.c.hills,0
2010,assam,n.c.hills,4
2011,assam,n.c.hills,0
2012,assam,n.c.hills,0
2013,assam,n.c.hills,0
2001,westbengal,nadia,7
2002,westbengal,nadia,0
2003,westbengal,nadia,2
2004,westbengal,nadia,0
2005,westbengal,nadia,3
2006,westbengal,nadia,1
2007,westbengal,nadia,0
2008,westbengal,nadia,2
2009,westbengal,nadia,0
2010,westbengal,nadia,4
2011,westbengal,nadia,2
2012,westbengal,nadia,11
2013,westbengal,nadia,13
2001,assam,nagaon,4
2002,assam,nagaon,5
2003,assam,nagaon,4
2004,assam,nagaon,5
2005,assam,nagaon,8
2006,assam,nagaon,10
2007,assam,nagaon,9
2008,assam,nagaon,0
2009,assam,nagaon,7
2010,assam,nagaon,9
2011,assam,nagaon,4
2012,assam,nagaon,3
2013,assam,nagaon,3
2001,tamilnadu,nagapattinam,13
2002,tamilnadu,nagapattinam,6
2003,tamilnadu,nagapattinam,4
2004,tamilnadu,nagapattinam,3
2005,tamilnadu,nagapattinam,6
2006,tamilnadu,nagapattinam,11
2007,tamilnadu,nagapattinam,5
2008,tamilnadu,nagapattinam,1
2009,tamilnadu,nagapattinam,7
2010,tamilnadu,nagapattinam,7
2011,tamilnadu,nagapattinam,27
2012,tamilnadu,nagapattinam,36
2013,tamilnadu,nagapattinam,23
2001,rajasthan,nagaur,0
2002,rajasthan,nagaur,0
2003,rajasthan,nagaur,0
2004,rajasthan,nagaur,0
2005,rajasthan,nagaur,0
2006,rajasthan,nagaur,0
2007,rajasthan,nagaur,0
2008,rajasthan,nagaur,0
2009,rajasthan,nagaur,0
2010,rajasthan,nagaur,0
2011,rajasthan,nagaur,0
2012,rajasthan,nagaur,0
2013,rajasthan,nagaur,0
2001,maharashtra,nagpur_commr.,56
2002,maharashtra,nagpur_commr.,38
2003,maharashtra,nagpur_commr.,36
2004,maharashtra,nagpur_commr.,52
2005,maharashtra,nagpur_commr.,52
2006,maharashtra,nagpur_commr.,42
2007,maharashtra,nagpur_commr.,51
2008,maharashtra,nagpur_commr.,71
2009,maharashtra,nagpur_commr.,39
2010,maharashtra,nagpur_commr.,48
2011,maharashtra,nagpur_commr.,53
2012,maharashtra,nagpur_commr.,53
2013,maharashtra,nagpur_commr.,52
2001,maharashtra,nagpur_rly.,0
2002,maharashtra,nagpur_rly.,1
2003,maharashtra,nagpur_rly.,1
2004,maharashtra,nagpur_rly.,1
2005,maharashtra,nagpur_rly.,2
2006,maharashtra,nagpur_rly.,2
2007,maharashtra,nagpur_rly.,1
2008,maharashtra,nagpur_rly.,2
2009,maharashtra,nagpur_rly.,2
2010,maharashtra,nagpur_rly.,2
2011,maharashtra,nagpur_rly.,1
2012,maharashtra,nagpur_rly.,4
2013,maharashtra,nagpur_rly.,3
2001,maharashtra,nagpur_rural,294
2002,maharashtra,nagpur_rural,61
2003,maharashtra,nagpur_rural,42
2004,maharashtra,nagpur_rural,44
2005,maharashtra,nagpur_rural,36
2006,maharashtra,nagpur_rural,45
2007,maharashtra,nagpur_rural,41
2008,maharashtra,nagpur_rural,32
2009,maharashtra,nagpur_rural,22
2010,maharashtra,nagpur_rural,19
2011,maharashtra,nagpur_rural,15
2012,maharashtra,nagpur_rural,20
2013,maharashtra,nagpur_rural,28
2001,uttarakhand,nainital,3
2002,uttarakhand,nainital,4
2003,uttarakhand,nainital,3
2004,uttarakhand,nainital,15
2005,uttarakhand,nainital,0
2006,uttarakhand,nainital,1
2007,uttarakhand,nainital,0
2008,uttarakhand,nainital,26
2009,uttarakhand,nainital,17
2010,uttarakhand,nainital,17
2011,uttarakhand,nainital,5
2012,uttarakhand,nainital,9
2013,uttarakhand,nainital,11
2001,bihar,nalanda,2
2002,bihar,nalanda,0
2003,bihar,nalanda,0
2004,bihar,nalanda,0
2005,bihar,nalanda,1
2006,bihar,nalanda,0
2007,bihar,nalanda,0
2008,bihar,nalanda,0
2009,bihar,nalanda,0
2010,bihar,nalanda,0
2011,bihar,nalanda,0
2012,bihar,nalanda,1
2013,bihar,nalanda,0
2001,assam,nalbari,0
2002,assam,nalbari,0
2003,assam,nalbari,0
2004,assam,nalbari,0
2005,assam,nalbari,0
2006,assam,nalbari,0
2007,assam,nalbari,0
2008,assam,nalbari,0
2009,assam,nalbari,0
2010,assam,nalbari,0
2011,assam,nalbari,0
2012,assam,nalbari,0
2013,assam,nalbari,0
2001,andhrapradesh,nalgonda,59
2002,andhrapradesh,nalgonda,67
2003,andhrapradesh,nalgonda,51
2004,andhrapradesh,nalgonda,66
2005,andhrapradesh,nalgonda,95
2006,andhrapradesh,nalgonda,126
2007,andhrapradesh,nalgonda,112
2008,andhrapradesh,nalgonda,155
2009,andhrapradesh,nalgonda,205
2010,andhrapradesh,nalgonda,192
2011,andhrapradesh,nalgonda,150
2012,andhrapradesh,nalgonda,264
2013,andhrapradesh,nalgonda,313
2001,tamilnadu,namakkal,13
2002,tamilnadu,namakkal,18
2003,tamilnadu,namakkal,20
2004,tamilnadu,namakkal,17
2005,tamilnadu,namakkal,0
2006,tamilnadu,namakkal,14
2007,tamilnadu,namakkal,9
2008,tamilnadu,namakkal,24
2009,tamilnadu,namakkal,17
2010,tamilnadu,namakkal,10
2011,tamilnadu,namakkal,12
2012,tamilnadu,namakkal,15
2013,tamilnadu,namakkal,11
2001,maharashtra,nanded,22
2002,maharashtra,nanded,6
2003,maharashtra,nanded,7
2004,maharashtra,nanded,12
2005,maharashtra,nanded,10
2006,maharashtra,nanded,0
2007,maharashtra,nanded,7
2008,maharashtra,nanded,6
2009,maharashtra,nanded,3
2010,maharashtra,nanded,5
2011,maharashtra,nanded,3
2012,maharashtra,nanded,5
2013,maharashtra,nanded,6
2001,maharashtra,nandurbar,1
2002,maharashtra,nandurbar,5
2003,maharashtra,nandurbar,12
2004,maharashtra,nandurbar,6
2005,maharashtra,nandurbar,8
2006,maharashtra,nandurbar,6
2007,maharashtra,nandurbar,2
2008,maharashtra,nandurbar,7
2009,maharashtra,nandurbar,11
2010,maharashtra,nandurbar,12
2011,maharashtra,nandurbar,7
2012,maharashtra,nandurbar,4
2013,maharashtra,nandurbar,13
2001,gujarat,narmada,1
2002,gujarat,narmada,4
2003,gujarat,narmada,0
2004,gujarat,narmada,0
2005,gujarat,narmada,0
2006,gujarat,narmada,0
2007,gujarat,narmada,0
2008,gujarat,narmada,1
2009,gujarat,narmada,0
2010,gujarat,narmada,0
2011,gujarat,narmada,0
2012,gujarat,narmada,0
2013,gujarat,narmada,0
2001,madhyapradesh,narsinghpur,16
2002,madhyapradesh,narsinghpur,16
2003,madhyapradesh,narsinghpur,19
2004,madhyapradesh,narsinghpur,10
2005,madhyapradesh,narsinghpur,10
2006,madhyapradesh,narsinghpur,11
2007,madhyapradesh,narsinghpur,15
2008,madhyapradesh,narsinghpur,16
2009,madhyapradesh,narsinghpur,23
2010,madhyapradesh,narsinghpur,12
2011,madhyapradesh,narsinghpur,25
2012,madhyapradesh,narsinghpur,31
2013,madhyapradesh,narsinghpur,12
2001,maharashtra,nasik_commr.,2
2002,maharashtra,nasik_commr.,11
2003,maharashtra,nasik_commr.,14
2004,maharashtra,nasik_commr.,15
2005,maharashtra,nasik_commr.,13
2006,maharashtra,nasik_commr.,15
2007,maharashtra,nasik_commr.,11
2008,maharashtra,nasik_commr.,10
2009,maharashtra,nasik_commr.,20
2010,maharashtra,nasik_commr.,18
2011,maharashtra,nasik_commr.,10
2012,maharashtra,nasik_commr.,16
2013,maharashtra,nasik_commr.,9
2001,maharashtra,nasik_rural,37
2002,maharashtra,nasik_rural,57
2003,maharashtra,nasik_rural,31
2004,maharashtra,nasik_rural,43
2005,maharashtra,nasik_rural,30
2006,maharashtra,nasik_rural,43
2007,maharashtra,nasik_rural,53
2008,maharashtra,nasik_rural,24
2009,maharashtra,nasik_rural,31
2010,maharashtra,nasik_rural,27
2011,maharashtra,nasik_rural,33
2012,maharashtra,nasik_rural,26
2013,maharashtra,nasik_rural,21
2001,bihar,naugachia,0
2002,bihar,naugachia,0
2003,bihar,naugachia,0
2004,bihar,naugachia,0
2005,bihar,naugachia,0
2006,bihar,naugachia,0
2007,bihar,naugachia,0
2008,bihar,naugachia,0
2009,bihar,naugachia,0
2010,bihar,naugachia,0
2011,bihar,naugachia,0
2012,bihar,naugachia,0
2013,bihar,naugachia,0
2001,maharashtra,navi_mumbai,5
2002,maharashtra,navi_mumbai,7
2003,maharashtra,navi_mumbai,7
2004,maharashtra,navi_mumbai,5
2005,maharashtra,navi_mumbai,11
2006,maharashtra,navi_mumbai,11
2007,maharashtra,navi_mumbai,7
2008,maharashtra,navi_mumbai,11
2009,maharashtra,navi_mumbai,34
2010,maharashtra,navi_mumbai,38
2011,maharashtra,navi_mumbai,33
2012,maharashtra,navi_mumbai,25
2013,maharashtra,navi_mumbai,55
2001,gujarat,navsari,0
2002,gujarat,navsari,0
2003,gujarat,navsari,0
2004,gujarat,navsari,0
2005,gujarat,navsari,0
2006,gujarat,navsari,0
2007,gujarat,navsari,0
2008,gujarat,navsari,1
2009,gujarat,navsari,1
2010,gujarat,navsari,1
2011,gujarat,navsari,2
2012,gujarat,navsari,0
2013,gujarat,navsari,1
2001,bihar,nawadah,0
2002,bihar,nawadah,2
2003,bihar,nawadah,1
2004,bihar,nawadah,0
2005,bihar,nawadah,0
2006,bihar,nawadah,2
2007,bihar,nawadah,1
2008,bihar,nawadah,1
2009,bihar,nawadah,1
2010,bihar,nawadah,0
2011,bihar,nawadah,0
2012,bihar,nawadah,0
2013,bihar,nawadah,0
2001,odisha,nayagarh,3
2002,odisha,nayagarh,1
2003,odisha,nayagarh,2
2004,odisha,nayagarh,3
2005,odisha,nayagarh,3
2006,odisha,nayagarh,4
2007,odisha,nayagarh,6
2008,odisha,nayagarh,5
2009,odisha,nayagarh,3
2010,odisha,nayagarh,2
2011,odisha,nayagarh,1
2012,odisha,nayagarh,1
2013,odisha,nayagarh,2
2001,madhyapradesh,neemuch,18
2002,madhyapradesh,neemuch,23
2003,madhyapradesh,neemuch,10
2004,madhyapradesh,neemuch,10
2005,madhyapradesh,neemuch,7
2006,madhyapradesh,neemuch,7
2007,madhyapradesh,neemuch,12
2008,madhyapradesh,neemuch,14
2009,madhyapradesh,neemuch,6
2010,madhyapradesh,neemuch,7
2011,madhyapradesh,neemuch,4
2012,madhyapradesh,neemuch,13
2013,madhyapradesh,neemuch,10
2001,andhrapradesh,nellore,228
2002,andhrapradesh,nellore,226
2003,andhrapradesh,nellore,97
2004,andhrapradesh,nellore,88
2005,andhrapradesh,nellore,84
2006,andhrapradesh,nellore,137
2007,andhrapradesh,nellore,123
2008,andhrapradesh,nellore,130
2009,andhrapradesh,nellore,128
2010,andhrapradesh,nellore,119
2011,andhrapradesh,nellore,119
2012,andhrapradesh,nellore,142
2013,andhrapradesh,nellore,221
2001,delhi,new_delhi,6
2002,delhi,new_delhi,15
2003,delhi,new_delhi,8
2004,delhi,new_delhi,15
2005,delhi,new_delhi,24
2006,delhi,new_delhi,13
2007,delhi,new_delhi,10
2008,delhi,new_delhi,3
2009,delhi,new_delhi,7
2010,delhi,new_delhi,10
2011,delhi,new_delhi,12
2012,delhi,new_delhi,7
2013,delhi,new_delhi,25
2001,tamilnadu,nilgiris,5
2002,tamilnadu,nilgiris,4
2003,tamilnadu,nilgiris,4
2004,tamilnadu,nilgiris,14
2005,tamilnadu,nilgiris,0
2006,tamilnadu,nilgiris,6
2007,tamilnadu,nilgiris,0
2008,tamilnadu,nilgiris,0
2009,tamilnadu,nilgiris,0
2010,tamilnadu,nilgiris,12
2011,tamilnadu,nilgiris,2
2012,tamilnadu,nilgiris,2
2013,tamilnadu,nilgiris,1
2001,andhrapradesh,nizamabad,15
2002,andhrapradesh,nizamabad,24
2003,andhrapradesh,nizamabad,32
2004,andhrapradesh,nizamabad,46
2005,andhrapradesh,nizamabad,41
2006,andhrapradesh,nizamabad,64
2007,andhrapradesh,nizamabad,59
2008,andhrapradesh,nizamabad,85
2009,andhrapradesh,nizamabad,75
2010,andhrapradesh,nizamabad,75
2011,andhrapradesh,nizamabad,100
2012,andhrapradesh,nizamabad,102
2013,andhrapradesh,nizamabad,295
2001,sikkim,north,0
2001,tripura,north,0
2001,delhi,north,6
2002,sikkim,north,0
2002,tripura,north,0
2002,delhi,north,23
2003,sikkim,north,0
2003,tripura,north,0
2003,delhi,north,8
2004,sikkim,north,0
2004,tripura,north,0
2004,delhi,north,5
2005,sikkim,north,0
2005,tripura,north,0
2005,delhi,north,7
2006,sikkim,north,0
2006,tripura,north,0
2006,delhi,north,5
2007,sikkim,north,0
2007,tripura,north,1
2007,delhi,north,30
2008,sikkim,north,0
2008,tripura,north,0
2008,delhi,north,9
2009,sikkim,north,0
2009,tripura,north,0
2009,delhi,north,18
2010,sikkim,north,0
2010,tripura,north,0
2010,delhi,north,8
2011,sikkim,north,0
2011,tripura,north,1
2011,delhi,north,10
2012,sikkim,north,0
2012,tripura,north,2
2012,a&nislands,north,1
2012,delhi,north,10
2013,sikkim,north,0
2013,tripura,north,0
2013,a&nislands,north,1
2013,delhi,north,25
2001,goa,north_goa,2
2002,goa,north_goa,4
2003,goa,north_goa,4
2004,goa,north_goa,8
2005,goa,north_goa,6
2006,goa,north_goa,3
2007,goa,north_goa,4
2008,goa,north_goa,2
2009,goa,north_goa,5
2010,goa,north_goa,10
2011,goa,north_goa,9
2012,goa,north_goa,14
2013,goa,north_goa,36
2001,odisha,nowrangpur,7
2002,odisha,nowrangpur,3
2003,odisha,nowrangpur,5
2004,odisha,nowrangpur,4
2005,odisha,nowrangpur,1
2006,odisha,nowrangpur,5
2007,odisha,nowrangpur,11
2008,odisha,nowrangpur,16
2009,odisha,nowrangpur,13
2010,odisha,nowrangpur,10
2011,odisha,nowrangpur,13
2012,odisha,nowrangpur,14
2013,odisha,nowrangpur,13
2001,odisha,nuapada,5
2002,odisha,nuapada,5
2003,odisha,nuapada,13
2004,odisha,nuapada,4
2005,odisha,nuapada,3
2006,odisha,nuapada,5
2007,odisha,nuapada,4
2008,odisha,nuapada,4
2009,odisha,nuapada,3
2010,odisha,nuapada,3
2011,odisha,nuapada,6
2012,odisha,nuapada,6
2013,odisha,nuapada,14
2001,maharashtra,osmanabad,6
2002,maharashtra,osmanabad,10
2003,maharashtra,osmanabad,11
2004,maharashtra,osmanabad,9
2005,maharashtra,osmanabad,8
2006,maharashtra,osmanabad,5
2007,maharashtra,osmanabad,7
2008,maharashtra,osmanabad,7
2009,maharashtra,osmanabad,9
2010,maharashtra,osmanabad,11
2011,maharashtra,osmanabad,11
2012,maharashtra,osmanabad,12
2013,maharashtra,osmanabad,12
2001,jharkhand,pakur,0
2002,jharkhand,pakur,0
2003,jharkhand,pakur,1
2004,jharkhand,pakur,0
2005,jharkhand,pakur,0
2006,jharkhand,pakur,0
2007,jharkhand,pakur,0
2008,jharkhand,pakur,0
2009,jharkhand,pakur,0
2010,jharkhand,pakur,0
2011,jharkhand,pakur,0
2012,jharkhand,pakur,0
2013,jharkhand,pakur,0
2001,kerala,palakkad,10
2002,kerala,palakkad,5
2003,kerala,palakkad,4
2004,kerala,palakkad,3
2005,kerala,palakkad,4
2006,kerala,palakkad,17
2007,kerala,palakkad,5
2008,kerala,palakkad,4
2009,kerala,palakkad,30
2010,kerala,palakkad,11
2011,kerala,palakkad,18
2012,kerala,palakkad,11
2013,kerala,palakkad,19
2001,jharkhand,palamu,0
2002,jharkhand,palamu,0
2003,jharkhand,palamu,0
2004,jharkhand,palamu,0
2005,jharkhand,palamu,0
2006,jharkhand,palamu,7
2007,jharkhand,palamu,3
2008,jharkhand,palamu,0
2009,jharkhand,palamu,0
2010,jharkhand,palamu,0
2011,jharkhand,palamu,0
2012,jharkhand,palamu,0
2013,jharkhand,palamu,0
2001,gujarat,palanpur,2
2002,gujarat,palanpur,1
2003,gujarat,palanpur,1
2004,gujarat,palanpur,1
2005,gujarat,palanpur,0
2006,gujarat,palanpur,0
2007,gujarat,palanpur,0
2008,gujarat,palanpur,0
2009,gujarat,palanpur,1
2010,gujarat,palanpur,5
2011,gujarat,palanpur,1
2012,gujarat,palanpur,1
2013,gujarat,palanpur,3
2001,rajasthan,pali,2
2002,rajasthan,pali,3
2003,rajasthan,pali,1
2004,rajasthan,pali,0
2005,rajasthan,pali,1
2006,rajasthan,pali,1
2007,rajasthan,pali,0
2008,rajasthan,pali,1
2009,rajasthan,pali,4
2010,rajasthan,pali,0
2011,rajasthan,pali,0
2012,rajasthan,pali,1
2013,rajasthan,pali,0
2001,haryana,panchkula,10
2002,haryana,panchkula,45
2003,haryana,panchkula,83
2004,haryana,panchkula,0
2005,haryana,panchkula,18
2006,haryana,panchkula,0
2007,haryana,panchkula,0
2008,haryana,panchkula,1
2009,haryana,panchkula,0
2010,haryana,panchkula,1
2011,haryana,panchkula,0
2012,haryana,panchkula,1
2013,haryana,panchkula,9
2001,gujarat,panchmahal,23
2002,gujarat,panchmahal,1
2003,gujarat,panchmahal,2
2004,gujarat,panchmahal,3
2005,gujarat,panchmahal,3
2006,gujarat,panchmahal,0
2007,gujarat,panchmahal,0
2008,gujarat,panchmahal,2
2009,gujarat,panchmahal,3
2010,gujarat,panchmahal,0
2011,gujarat,panchmahal,0
2012,gujarat,panchmahal,0
2013,gujarat,panchmahal,0
2001,haryana,panipat,11
2002,haryana,panipat,20
2003,haryana,panipat,22
2004,haryana,panipat,8
2005,haryana,panipat,10
2006,haryana,panipat,13
2007,haryana,panipat,18
2008,haryana,panipat,17
2009,haryana,panipat,44
2010,haryana,panipat,30
2011,haryana,panipat,19
2012,haryana,panipat,12
2013,haryana,panipat,19
2001,madhyapradesh,panna,2
2002,madhyapradesh,panna,6
